NIAB_Plot_2014,W8,NPPC code,location,treatment,rep,barcode,genotype,control,type,idtype
527,MEL 159-1,169,1,1,1,W8-169111,MEL 159-1,0,2,RIL
527,MEL 159-1,169,1,1,2,W8-169112,MEL 159-1,0,2,RIL
532,MEL 160-1,170,1,1,1,W8-170111,MEL 160-1,0,2,RIL
532,MEL 160-1,170,1,1,2,W8-170112,MEL 160-1,0,2,RIL
536,MEL 161-1,171,1,1,1,W8-171111,MEL 161-1,0,2,RIL
536,MEL 161-1,171,1,1,2,W8-171112,MEL 161-1,0,2,RIL
1031,MEL 162-1,172,1,1,1,W8-172111,MEL 162-1,0,2,RIL
1031,MEL 162-1,172,1,1,2,W8-172112,MEL 162-1,0,2,RIL
545,MEL 163-2,173,1,1,1,W8-173111,MEL 163-2,0,2,RIL
545,MEL 163-2,173,1,1,2,W8-173112,MEL 163-2,0,2,RIL
549,MEL 164-1,174,1,1,1,W8-174111,MEL 164-1,0,2,RIL
549,MEL 164-1,174,1,1,2,W8-174112,MEL 164-1,0,2,RIL
553,MEL 165-1,175,1,1,1,W8-175111,MEL 165-1,0,2,RIL
553,MEL 165-1,175,1,1,2,W8-175112,MEL 165-1,0,2,RIL
561,MEL 166-1a,176,1,1,1,W8-176111,MEL 166-1a,0,2,RIL
561,MEL 166-1a,176,1,1,2,W8-176112,MEL 166-1a,0,2,RIL
1040,MEL 167-2,177,1,1,1,W8-177111,MEL 167-2,0,2,RIL
1040,MEL 167-2,177,1,1,2,W8-177112,MEL 167-2,0,2,RIL
1041,MEL 168-1a,178,1,1,1,W8-178111,MEL 168-1a,0,2,RIL
1041,MEL 168-1a,178,1,1,2,W8-178112,MEL 168-1a,0,2,RIL
1043,MEL 169-1c,179,1,1,1,W8-179111,MEL 169-1c,0,2,RIL
1043,MEL 169-1c,179,1,1,2,W8-179112,MEL 169-1c,0,2,RIL
571,MEL 170-1b,180,1,1,1,W8-180111,MEL 170-1b,0,2,RIL
571,MEL 170-1b,180,1,1,2,W8-180112,MEL 170-1b,0,2,RIL
575,MEL 171-1a,181,1,1,1,W8-181111,MEL 171-1a,0,2,RIL
575,MEL 171-1a,181,1,1,2,W8-181112,MEL 171-1a,0,2,RIL
577,MEL 172-1,182,1,1,1,W8-182111,MEL 172-1,0,2,RIL
577,MEL 172-1,182,1,1,2,W8-182112,MEL 172-1,0,2,RIL
582,MEL 173-2,183,1,1,1,W8-183111,MEL 173-2,0,2,RIL
582,MEL 173-2,183,1,1,2,W8-183112,MEL 173-2,0,2,RIL
584,MEL 174-1,184,1,1,1,W8-184111,MEL 174-1,0,2,RIL
584,MEL 174-1,184,1,1,2,W8-184112,MEL 174-1,0,2,RIL
1054,MEL 175-1,185,1,1,1,W8-185111,MEL 175-1,0,2,RIL
1054,MEL 175-1,185,1,1,2,W8-185112,MEL 175-1,0,2,RIL
594,MEL 176-1,186,1,1,1,W8-186111,MEL 176-1,0,2,RIL
594,MEL 176-1,186,1,1,2,W8-186112,MEL 176-1,0,2,RIL
599,MEL 177a-1,187,1,1,1,W8-187111,MEL 177a-1,0,2,RIL
599,MEL 177a-1,187,1,1,2,W8-187112,MEL 177a-1,0,2,RIL
1059,MEL 178-1a,188,1,1,1,W8-188111,MEL 178-1a,0,2,RIL
1059,MEL 178-1a,188,1,1,2,W8-188112,MEL 178-1a,0,2,RIL
605,MEL 179-2,189,1,1,1,W8-189111,MEL 179-2,0,2,RIL
605,MEL 179-2,189,1,1,2,W8-189112,MEL 179-2,0,2,RIL
609,MEL 180-1,190,1,1,1,W8-190111,MEL 180-1,0,2,RIL
609,MEL 180-1,190,1,1,2,W8-190112,MEL 180-1,0,2,RIL
614,MEL 181-1,191,1,1,1,W8-191111,MEL 181-1,0,2,RIL
614,MEL 181-1,191,1,1,2,W8-191112,MEL 181-1,0,2,RIL
618,MEL 182-1a,192,1,1,1,W8-192111,MEL 182-1a,0,2,RIL
618,MEL 182-1a,192,1,1,2,W8-192112,MEL 182-1a,0,2,RIL
621,MEL 183-1,193,1,1,1,W8-193111,MEL 183-1,0,2,RIL
621,MEL 183-1,193,1,1,2,W8-193112,MEL 183-1,0,2,RIL
624,MEL 184-1a,194,1,1,1,W8-194111,MEL 184-1a,0,2,RIL
624,MEL 184-1a,194,1,1,2,W8-194112,MEL 184-1a,0,2,RIL
625,MEL 185-1,195,1,1,1,W8-195111,MEL 185-1,0,2,RIL
625,MEL 185-1,195,1,1,2,W8-195112,MEL 185-1,0,2,RIL
630,MEL 186-1b,196,1,1,1,W8-196111,MEL 186-1b,0,2,RIL
630,MEL 186-1b,196,1,1,2,W8-196112,MEL 186-1b,0,2,RIL
632,MEL 187-1b,197,1,1,1,W8-197111,MEL 187-1b,0,2,RIL
632,MEL 187-1b,197,1,1,2,W8-197112,MEL 187-1b,0,2,RIL
635,MEL 188-2,198,1,1,1,W8-198111,MEL 188-2,0,2,RIL
635,MEL 188-2,198,1,1,2,W8-198112,MEL 188-2,0,2,RIL
1075,MEL 189-1,199,1,1,1,W8-199111,MEL 189-1,0,2,RIL
1075,MEL 189-1,199,1,1,2,W8-199112,MEL 189-1,0,2,RIL
642,MEL 190-2,200,1,1,1,W8-200111,MEL 190-2,0,2,RIL
642,MEL 190-2,200,1,1,2,W8-200112,MEL 190-2,0,2,RIL
646,MEL 191-1,201,1,1,1,W8-201111,MEL 191-1,0,2,RIL
646,MEL 191-1,201,1,1,2,W8-201112,MEL 191-1,0,2,RIL
651,MEL 192-1,202,1,1,1,W8-202111,MEL 192-1,0,2,RIL
651,MEL 192-1,202,1,1,2,W8-202112,MEL 192-1,0,2,RIL
655,MEL 193-1,203,1,1,1,W8-203111,MEL 193-1,0,2,RIL
655,MEL 193-1,203,1,1,2,W8-203112,MEL 193-1,0,2,RIL
1082,MEL 194a-1,204,1,1,1,W8-204111,MEL 194a-1,0,2,RIL
1082,MEL 194a-1,204,1,1,2,W8-204112,MEL 194a-1,0,2,RIL
664,MEL 195-1a,205,1,1,1,W8-205111,MEL 195-1a,0,2,RIL
664,MEL 195-1a,205,1,1,2,W8-205112,MEL 195-1a,0,2,RIL
799,MEL 196-1A,206,1,1,1,W8-206111,MEL 196-1A,0,2,RIL
799,MEL 196-1A,206,1,1,2,W8-206112,MEL 196-1A,0,2,RIL
675,MEL 197-2,207,1,1,1,W8-207111,MEL 197-2,0,2,RIL
675,MEL 197-2,207,1,1,2,W8-207112,MEL 197-2,0,2,RIL
1089,MEL 198-1,208,1,1,1,W8-208111,MEL 198-1,0,2,RIL
1089,MEL 198-1,208,1,1,2,W8-208112,MEL 198-1,0,2,RIL
683,MEL 199-1,209,1,1,1,W8-209111,MEL 199-1,0,2,RIL
683,MEL 199-1,209,1,1,2,W8-209112,MEL 199-1,0,2,RIL
688,MEL 200-1b,210,1,1,1,W8-210111,MEL 200-1b,0,2,RIL
688,MEL 200-1b,210,1,1,2,W8-210112,MEL 200-1b,0,2,RIL
692,MEL 201-1,211,1,1,1,W8-211111,MEL 201-1,0,2,RIL
692,MEL 201-1,211,1,1,2,W8-211112,MEL 201-1,0,2,RIL
696,MEL 202-2,212,1,1,1,W8-212111,MEL 202-2,0,2,RIL
696,MEL 202-2,212,1,1,2,W8-212112,MEL 202-2,0,2,RIL
1097,MEL 203-1,213,1,1,1,W8-213111,MEL 203-1,0,2,RIL
1097,MEL 203-1,213,1,1,2,W8-213112,MEL 203-1,0,2,RIL
705,MEL 204-1,214,1,1,1,W8-214111,MEL 204-1,0,2,RIL
705,MEL 204-1,214,1,1,2,W8-214112,MEL 204-1,0,2,RIL
800,MEL 205-1a,215,1,1,1,W8-215111,MEL 205-1a,0,2,RIL
800,MEL 205-1a,215,1,1,2,W8-215112,MEL 205-1a,0,2,RIL
713,MEL 206a-1a,216,1,1,1,W8-216111,MEL 206a-1a,0,2,RIL
713,MEL 206a-1a,216,1,1,2,W8-216112,MEL 206a-1a,0,2,RIL
716,MEL 207-1,217,1,1,1,W8-217111,MEL 207-1,0,2,RIL
716,MEL 207-1,217,1,1,2,W8-217112,MEL 207-1,0,2,RIL
720,MEL 208-1,218,1,1,1,W8-218111,MEL 208-1,0,2,RIL
720,MEL 208-1,218,1,1,2,W8-218112,MEL 208-1,0,2,RIL
726,MEL 209-1,219,1,1,1,W8-219111,MEL 209-1,0,2,RIL
726,MEL 209-1,219,1,1,2,W8-219112,MEL 209-1,0,2,RIL
803,MEL 210-1a,220,1,1,1,W8-220111,MEL 210-1a,0,2,RIL
803,MEL 210-1a,220,1,1,2,W8-220112,MEL 210-1a,0,2,RIL
