NIAB_Plot_2014,W8,NPPC code,location,treatment,rep,barcode,genotype,control,type,idtype
77,MEL 022-1c,34,1,1,2,W8-034112,MEL 022-1c,0,2,RIL
834,MEL 023-1,35,1,1,1,W8-035111,MEL 023-1,0,2,RIL
834,MEL 023-1,35,1,1,2,W8-035112,MEL 023-1,0,2,RIL
836,MEL 024-1,36,1,1,1,W8-036111,MEL 024-1,0,2,RIL
836,MEL 024-1,36,1,1,2,W8-036112,MEL 024-1,0,2,RIL
85,MEL 025-1a,37,1,1,1,W8-037111,MEL 025-1a,0,2,RIL
85,MEL 025-1a,37,1,1,2,W8-037112,MEL 025-1a,0,2,RIL
91,MEL 026-1b,38,1,1,1,W8-038111,MEL 026-1b,0,2,RIL
91,MEL 026-1b,38,1,1,2,W8-038112,MEL 026-1b,0,2,RIL
92,MEL 027-1e,39,1,1,1,W8-039111,MEL 027-1e,0,2,RIL
92,MEL 027-1e,39,1,1,2,W8-039112,MEL 027-1e,0,2,RIL
93,MEL 028-1c,40,1,1,1,W8-040111,MEL 028-1c,0,2,RIL
93,MEL 028-1c,40,1,1,2,W8-040112,MEL 028-1c,0,2,RIL
94,MEL 029-1c,41,1,1,1,W8-041111,MEL 029-1c,0,2,RIL
94,MEL 029-1c,41,1,1,2,W8-041112,MEL 029-1c,0,2,RIL
743,MEL 030-1a,42,1,1,1,W8-042111,MEL 030-1a,0,2,RIL
743,MEL 030-1a,42,1,1,2,W8-042112,MEL 030-1a,0,2,RIL
744,MEL 031-1b,43,1,1,1,W8-043111,MEL 031-1b,0,2,RIL
744,MEL 031-1b,43,1,1,2,W8-043112,MEL 031-1b,0,2,RIL
100,MEL 032-1,44,1,1,1,W8-044111,MEL 032-1,0,2,RIL
100,MEL 032-1,44,1,1,2,W8-044112,MEL 032-1,0,2,RIL
105,MEL 033-1-A,45,1,1,1,W8-045111,MEL 033-1-A,0,2,RIL
105,MEL 033-1-A,45,1,1,2,W8-045112,MEL 033-1-A,0,2,RIL
110,MEL 034-4,46,1,1,1,W8-046111,MEL 034-4,0,2,RIL
